joint,n,reject_rate,mean_eps_norm,mean_E_norm,mean_E_corr_norm
LEFT_ANKLE,21502,0.2590921774718631,0.28729873248046434,0.5422757823554352,0.5375668064570748
LEFT_ELBOW,21502,0.27811366384522374,0.22026518503727702,0.38919883703267427,0.3873538791044762
LEFT_KNEE,21502,0.26969584224723286,0.20286857576428824,0.33036995663604435,0.3276294329461879
LEFT_SHOULDER,21502,0.2708585247883918,0.11500039957427272,0.29148415315738246,0.2905811895514358
LEFT_WRIST,21502,0.3110873407124919,0.2205593363599556,0.4444176999395287,0.43907058918483516
RIGHT_ANKLE,21502,0.26695191145009767,0.28732516008467907,0.5671667659064533,0.5629265693733863
RIGHT_ELBOW,21502,0.2942051902148637,0.25067906083739194,0.40158720367686307,0.3998176929488504
RIGHT_KNEE,21502,0.2951818435494372,0.20855451594738336,0.33904043679316254,0.33589129145466085
RIGHT_SHOULDER,21502,0.2714631197097944,0.11148880599304488,0.2788293784332162,0.27769388066632633
RIGHT_WRIST,21502,0.30392521625895264,0.283762210444007,0.47938149155607634,0.4763451692596482
