joint,n,replace_rate,mean_err_before,mean_err_after,mean_los_before,mean_perp_before,mean_dyn_before,mean_dyn_after,dyn_improvement_pct,improvement_pct
LEFT_ANKLE,169,0.27218934911242604,0.9709142713217583,0.9689666597668866,0.731254238423594,0.4563167482324354,0.6440584616487983,0.6346171551220071,1.4659083125189183,0.20059562542225134
LEFT_ELBOW,169,0.1952662721893491,0.6898079847347187,0.6891568087625511,0.6011344796119028,0.311666174315504,0.52244586017407,0.5174531314082005,0.9556451962708719,0.0943995991026397
LEFT_HIP,169,0.28402366863905326,,,,,,,,
LEFT_KNEE,169,0.23668639053254437,0.7528188500321311,0.752664804674925,0.5769201987277583,0.4145293361403602,0.58417775969557,0.580755089168771,0.5858953837240466,0.020462473435610008
LEFT_SHOULDER,169,0.28402366863905326,0.6762362426934067,0.673994139756624,0.5321503097541724,0.34891921126937847,0.5018597450400705,0.49518828185829133,1.329348139139245,0.3315561626588459
LEFT_WRIST,169,0.20118343195266272,0.6643339027176166,0.6607457634024398,0.5368038923450459,0.3582405073778017,0.5576318120804769,0.5518801350412725,1.031447079345294,0.5401108238641175
RIGHT_ANKLE,169,0.21893491124260356,0.8320489829840535,0.8260622139174133,0.35198609009363685,0.7209421375354034,0.6302765242697689,0.6188539204620875,1.8123162402273254,0.719521228806662
RIGHT_ELBOW,169,0.15976331360946747,0.8227684660902652,0.8184400609448109,0.44933985593702597,0.6124365196798993,0.5280160948853548,0.5212177234643338,1.2875310974179894,0.5260781524628132
RIGHT_HIP,169,0.3254437869822485,,,,,,,,
RIGHT_KNEE,169,0.20118343195266272,0.6876095169963105,0.6846744054558498,0.23128053686357838,0.626610265924655,0.56962076924047,0.5625757441372449,1.2367921753658913,0.4268573176942249
RIGHT_SHOULDER,169,0.21893491124260356,0.70599000935322,0.6999005202248126,0.302516486850598,0.5935758677945583,0.49318066213533907,0.4853701564610237,1.5837007153723281,0.8625460768185828
RIGHT_WRIST,169,0.21893491124260356,0.8669434936281721,0.8636087858582856,0.5197791887952968,0.6201250664815265,0.5565372291650971,0.5506628248506312,1.0555276460621463,0.38465110983539785
